month;value;agrupador
Abril.20;20805;Implantação
Abril.20;"";Bancos
Abril.20;"";Core BH e Investimentos
Abril.20;"";Core CWB
Abril.20;"";Fundos
Abril.20;"";Previdência
Abril.20;"";Amadeus e Cardeal
Abril.20;"";SQ Previdência
Abril.20;"";Consórcio
Maio.20;18900;Implantação
Maio.20;"";Bancos
Maio.20;"";Core BH e Investimentos
Maio.20;"";Core CWB
Maio.20;"";Fundos
Maio.20;"";Previdência
Maio.20;"";Amadeus e Cardeal
Maio.20;"";SQ Previdência
Maio.20;"";Consórcio
Junho.20;23770;Implantação
Junho.20;11088;Bancos
Junho.20;6720;Core BH e Investimentos
Junho.20;4368;Core CWB
Junho.20;1344;Fundos
Junho.20;10920;Previdência
Junho.20;"";Amadeus e Cardeal
Junho.20;"";SQ Previdência
Junho.20;840;Consórcio
Julho.20;25032;Implantação
Julho.20;11928;Bancos
Julho.20;5245;Core BH e Investimentos
Julho.20;6683;Core CWB
Julho.20;840;Fundos
Julho.20;11592;Previdência
Julho.20;"";Amadeus e Cardeal
Julho.20;"";SQ Previdência
Julho.20;840;Consórcio
Agosto.20;25368;Implantação
Agosto.20;12096;Bancos
Agosto.20;6949;Core BH e Investimentos
Agosto.20;5147;Core CWB
Agosto.20;840;Fundos
Agosto.20;11592;Previdência
Agosto.20;"";Amadeus e Cardeal
Agosto.20;"";SQ Previdência
Agosto.20;840;Consórcio
Setembro.20;27048;Implantação
Setembro.20;13104;Bancos
Setembro.20;7376;Core BH e Investimentos
Setembro.20;5728;Core CWB
Setembro.20;840;Fundos
Setembro.20;12264;Previdência
Setembro.20;"";Amadeus e Cardeal
Setembro.20;"";SQ Previdência
Setembro.20;840;Consórcio
Outubro.20;26712;Implantação
Outubro.20;12600;Bancos
Outubro.20;6859;Core BH e Investimentos
Outubro.20;5741;Core CWB
Outubro.20;840;Fundos
Outubro.20;12432;Previdência
Outubro.20;4872;Amadeus e Cardeal
Outubro.20;7560;SQ Previdência
Outubro.20;840;Consórcio
Novembro.20;22204;Implantação
Novembro.20;10413;Bancos
Novembro.20;5155;Core BH e Investimentos
Novembro.20;5258;Core CWB
Novembro.20;703;Fundos
Novembro.20;10416;Previdência
Novembro.20;4704;Amadeus e Cardeal
Novembro.20;5712;SQ Previdência
Novembro.20;672;Consórcio
Dezembro.20;"";Implantação
Dezembro.20;"";Bancos
Dezembro.20;"";Core BH e Investimentos
Dezembro.20;"";Core CWB
Dezembro.20;"";Fundos
Dezembro.20;"";Previdência
Dezembro.20;"";Amadeus e Cardeal
Dezembro.20;"";SQ Previdência
Dezembro.20;"";Consórcio
